Limit	:	Expected	:	Actual
10	:	3.3	:	1.0
20	:	4.3	:	4.0
30	:	4.9	:	5.0
40	:	5.3	:	5.0
50	:	5.6	:	5.5
60	:	5.9	:	5.0
70	:	6.1	:	6.0
80	:	6.3	:	7.0
90	:	6.5	:	6.0
100	:	6.6	:	6.5
110	:	6.8	:	6.0
120	:	6.9	:	7.0
130	:	7.0	:	7.0
140	:	7.1	:	7.0
150	:	7.2	:	6.5
160	:	7.3	:	8.0
170	:	7.4	:	6.0
180	:	7.5	:	7.0
190	:	7.6	:	6.0
200	:	7.6	:	6.0
210	:	7.7	:	8.0
220	:	7.8	:	3.0
230	:	7.8	:	7.0
240	:	7.9	:	7.0
250	:	8.0	:	7.5
260	:	8.0	:	5.0
270	:	8.1	:	8.0
280	:	8.1	:	8.0
290	:	8.2	:	7.0
300	:	8.2	:	6.5
310	:	8.3	:	8.0
320	:	8.3	:	7.0
330	:	8.4	:	8.0
340	:	8.4	:	9.0
350	:	8.5	:	7.5
360	:	8.5	:	7.0
370	:	8.5	:	6.0
380	:	8.6	:	9.0
390	:	8.6	:	7.0
400	:	8.6	:	8.5
410	:	8.7	:	9.0
420	:	8.7	:	4.0
430	:	8.7	:	9.0
440	:	8.8	:	9.0
450	:	8.8	:	9.0
460	:	8.8	:	6.0
470	:	8.9	:	9.0
480	:	8.9	:	8.0
490	:	8.9	:	8.0
500	:	9.0	:	8.5
510	:	9.0	:	8.0
520	:	9.0	:	9.0
530	:	9.0	:	9.0
540	:	9.1	:	6.0
550	:	9.1	:	5.5
560	:	9.1	:	9.0
570	:	9.2	:	9.0
580	:	9.2	:	7.0
590	:	9.2	:	10.0
600	:	9.2	:	9.0
610	:	9.3	:	10.0
620	:	9.3	:	9.0
630	:	9.3	:	8.0
640	:	9.3	:	9.0
650	:	9.3	:	5.5
660	:	9.4	:	5.0
670	:	9.4	:	10.0
680	:	9.4	:	5.0
690	:	9.4	:	10.0
700	:	9.5	:	9.5
710	:	9.5	:	10.0
720	:	9.5	:	9.0
730	:	9.5	:	10.0
740	:	9.5	:	10.0
750	:	9.6	:	8.5
760	:	9.6	:	10.0
770	:	9.6	:	10.0
780	:	9.6	:	8.0
790	:	9.6	:	9.0
800	:	9.6	:	9.0
810	:	9.7	:	10.0
820	:	9.7	:	7.0
830	:	9.7	:	9.0
840	:	9.7	:	9.0
850	:	9.7	:	10.0
860	:	9.7	:	9.0
870	:	9.8	:	10.0
880	:	9.8	:	7.0
890	:	9.8	:	10.0
900	:	9.8	:	10.0
910	:	9.8	:	10.0
920	:	9.8	:	9.0
930	:	9.9	:	9.0
940	:	9.9	:	10.0
950	:	9.9	:	9.0
960	:	9.9	:	10.0
970	:	9.9	:	8.0
980	:	9.9	:	9.0
990	:	10.0	:	9.0
1000	:	10.0	:	8.8
1010	:	10.0	:	10.0
1020	:	10.0	:	10.0
